last name,fips,county,votes,state,total votes,winner,percent votes,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Age,Gender,Net Worth,% Donations Under $200,Candidate Committee Money,Outside Money,Twitter Followers,legalize_cannabis,vote_incarcerated,gun_licenses,tax_wealthy_assets,paid_family_leave,job_guarantee,cancel_student_debt,ratify_NA_trade,raise_income_tax,rent_control,lower_debt,TPP,carbon_tax,north_korea_meet,free_college,children_public,ban_fracking,border_crossing_penalties,medicare_for_all,private_insurance,eliminate_electoral_college,eliminate_filibuster
Biden,1131,Wilcox,1864,AL,2148,1,0.867783985,11098,11665,-4.9,11670,5.7,24.8,17.7,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6,93.8,0.1,0.9,76.1,11.1,462,21.6,5615,74.5,5.7,67000,3866,2.9,13379,23642,39.2,189,1738,-1.1,613,928,66.2,0,0,0,0,37.6,0,21337,75708,6018,12949,0,888.5,13.1,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1131,Wilcox,284,AL,2148,0,0.132216015,11098,11665,-4.9,11670,5.7,24.8,17.7,52.4,28.1,71,0.2,0.1,0,0.6,1,27.6,93.8,0.1,0.9,76.1,11.1,462,21.6,5615,74.5,5.7,67000,3866,2.9,13379,23642,39.2,189,1738,-1.1,613,928,66.2,0,0,0,0,37.6,0,21337,75708,6018,12949,0,888.5,13.1,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1129,Washington,1109,AL,1265,1,0.876679842,16834,17583,-4.3,17581,4.9,22.5,17,51.2,66,24.6,7.9,0.1,0.1,1.3,1.4,65.1,91.3,0.9,1.9,80.5,9.5,1025,31.8,8377,86.5,2,83900,6620,2.59,20395,42156,18.4,217,5756,-4.7,1031,1288,0,0,0,0,0,25.6,1153449,32856,76343,4458,0,2,1080.21,16.3,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1129,Washington,156,AL,1265,0,0.123320158,16834,17583,-4.3,17581,4.9,22.5,17,51.2,66,24.6,7.9,0.1,0.1,1.3,1.4,65.1,91.3,0.9,1.9,80.5,9.5,1025,31.8,8377,86.5,2,83900,6620,2.59,20395,42156,18.4,217,5756,-4.7,1031,1288,0,0,0,0,0,25.6,1153449,32856,76343,4458,0,2,1080.21,16.3,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1127,Walker,1390,AL,1928,1,0.720954357,65471,67023,-2.3,67023,5.8,22.1,18.2,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4,85.3,1.2,1.4,76.4,10.5,5353,29.3,30669,75,5.7,82100,25751,2.55,20698,37566,20.9,1250,15669,4.1,3509,5365,0,0,0.6,0,0,23.8,314804,256377,903643,13162,73895,8,791.19,84.7,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1127,Walker,538,AL,1928,0,0.279045643,65471,67023,-2.3,67023,5.8,22.1,18.2,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4,85.3,1.2,1.4,76.4,10.5,5353,29.3,30669,75,5.7,82100,25751,2.55,20698,37566,20.9,1250,15669,4.1,3509,5365,0,0,0.6,0,0,23.8,314804,256377,903643,13162,73895,8,791.19,84.7,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1125,Tuscaloosa,11825,AL,15377,1,0.769005658,202212,194653,3.9,194656,6,21.1,11.7,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2,81.2,3.5,5.8,86.6,27,12198,21.8,87795,64.4,27.9,153300,67882,2.76,22637,45408,18.9,4009,72917,3,11107,14729,13.3,0.9,0,0,0,22.5,10852479,760623,2445850,13664,327429,1375,1321.76,147.3,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1125,Tuscaloosa,3552,AL,15377,0,0.230994342,202212,194653,3.9,194656,6,21.1,11.7,51.7,66,31,0.3,1.5,0.1,1.1,3.3,63.2,81.2,3.5,5.8,86.6,27,12198,21.8,87795,64.4,27.9,153300,67882,2.76,22637,45408,18.9,4009,72917,3,11107,14729,13.3,0.9,0,0,0,22.5,10852479,760623,2445850,13664,327429,1375,1321.76,147.3,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1123,Tallapoosa,1762,AL,2064,1,0.853682171,41165,41618,-1.1,41616,5.8,21.1,19.6,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9,86,1.9,2.9,79.2,16.3,3631,23.9,22029,72.2,10.1,94900,16373,2.49,21434,39130,19.8,721,10771,4.1,2478,3528,13,0,0,0,0,35,0,0,362304,8881,28222,16,716.52,58.1,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1123,Tallapoosa,302,AL,2064,0,0.146317829,41165,41618,-1.1,41616,5.8,21.1,19.6,51.4,70.6,27.3,0.4,0.5,0,1.2,2.3,68.9,86,1.9,2.9,79.2,16.3,3631,23.9,22029,72.2,10.1,94900,16373,2.49,21434,39130,19.8,721,10771,4.1,2478,3528,13,0,0,0,0,35,0,0,362304,8881,28222,16,716.52,58.1,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1121,Talladega,4617,AL,5420,1,0.851845018,81322,82291,-1.2,82291,5.5,22.3,16.1,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4,85,1.6,2.8,78.9,13,6691,23.9,37177,71.2,11.6,92600,31486,2.5,19410,35439,22.9,1230,23763,4.8,3988,4872,0,0,1.5,0,0,26.6,9054200,0,730728,9113,67078,65,736.78,111.7,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1121,Talladega,803,AL,5420,0,0.148154982,81322,82291,-1.2,82291,5.5,22.3,16.1,51.4,65.2,32.5,0.4,0.4,0,1.5,2.3,63.4,85,1.6,2.8,78.9,13,6691,23.9,37177,71.2,11.6,92600,31486,2.5,19410,35439,22.9,1230,23763,4.8,3988,4872,0,0,1.5,0,0,26.6,9054200,0,730728,9113,67078,65,736.78,111.7,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1119,Sumter,2012,AL,2301,1,0.874402434,13166,13763,-4.3,13763,4.8,19.7,16.3,55,25.5,73.5,0.1,0.4,0,0.5,1.1,24.8,87.9,0.9,1.9,75.5,14.9,706,23.4,6748,64.7,16.3,74100,5060,2.57,14156,22186,38,202,2966,8.1,823,730,57.5,0,0,0,0,0,0,76499,59636,4494,8199,3,903.89,15.2,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1119,Sumter,289,AL,2301,0,0.125597566,13166,13763,-4.3,13763,4.8,19.7,16.3,55,25.5,73.5,0.1,0.4,0,0.5,1.1,24.8,87.9,0.9,1.9,75.5,14.9,706,23.4,6748,64.7,16.3,74100,5060,2.57,14156,22186,38,202,2966,8.1,823,730,57.5,0,0,0,0,0,0,76499,59636,4494,8199,3,903.89,15.2,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1115,St. Clair,2268,AL,3103,1,0.730905575,86697,83593,3.7,83593,6.1,23,15.3,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9,86.8,1.8,2.5,82,15.5,6928,30,35844,81.5,5.1,134600,31353,2.63,23872,50786,15.2,1266,15265,1,5172,6061,2.4,1,1.4,0,0,28.1,985409,317458,581324,7404,70254,80,631.9,132.3,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1115,St. Clair,835,AL,3103,0,0.269094425,86697,83593,3.7,83593,6.1,23,15.3,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9,86.8,1.8,2.5,82,15.5,6928,30,35844,81.5,5.1,134600,31353,2.63,23872,50786,15.2,1266,15265,1,5172,6061,2.4,1,1.4,0,0,28.1,985409,317458,581324,7404,70254,80,631.9,132.3,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1117,Shelby,9543,AL,13338,1,0.715474584,206655,195218,5.9,195085,6,24.4,13,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5,86.6,6,8.3,91.2,40.3,13991,29,83498,79,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0,0,2,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1117,Shelby,3795,AL,13338,0,0.284525416,206655,195218,5.9,195085,6,24.4,13,51.2,84,12.1,0.4,2.2,0,1.3,6,78.5,86.6,6,8.3,91.2,40.3,13991,29,83498,79,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0,0,2,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1113,Russell,3221,AL,3787,1,0.850541326,59608,52949,12.6,52947,7.6,25.3,12.5,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5,81.7,2.2,5,80.4,16,5977,23.6,26787,61.3,19.8,104400,21142,2.6,19678,36143,22,783,10489,-1.9,3523,3823,33.9,0,0,0,1,32.4,0,0,428236,8526,56392,244,641.14,82.6,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1113,Russell,566,AL,3787,0,0.149458674,59608,52949,12.6,52947,7.6,25.3,12.5,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5,49.5,81.7,2.2,5,80.4,16,5977,23.6,26787,61.3,19.8,104400,21142,2.6,19678,36143,22,783,10489,-1.9,3523,3823,33.9,0,0,0,1,32.4,0,0,428236,8526,56392,244,641.14,82.6,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1111,Randolph,522,AL,644,1,0.810559006,22539,22914,-1.6,22913,5.7,22,19.6,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75,87.9,1.7,3.4,72.6,11.1,1598,26.8,11928,72.3,5.7,88600,9013,2.48,19830,35213,24.5,340,3481,0,1388,1550,7.1,0,0,0,0,0,401677,26751,161410,7209,9241,0,580.55,39.5,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1111,Randolph,122,AL,644,0,0.189440994,22539,22914,-1.6,22913,5.7,22,19.6,51.4,77.6,20.2,0.5,0.3,0.1,1.4,2.9,75,87.9,1.7,3.4,72.6,11.1,1598,26.8,11928,72.3,5.7,88600,9013,2.48,19830,35213,24.5,340,3481,0,1388,1550,7.1,0,0,0,0,0,401677,26751,161410,7209,9241,0,580.55,39.5,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1109,Pike,1786,AL,2219,1,0.804867057,33389,32899,1.5,32899,5.7,19.4,14.1,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1,79.3,4,5.8,81,23,2516,18.7,15807,57.8,18.5,101000,12959,2.4,19715,33090,27.6,628,11009,1.4,1970,2527,0,0,0,0,0,0,0,0,367926,12189,45692,44,672.09,48.9,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1109,Pike,433,AL,2219,0,0.195132943,33389,32899,1.5,32899,5.7,19.4,14.1,51.9,58.5,36.9,0.7,2.2,0.1,1.6,2.2,57.1,79.3,4,5.8,81,23,2516,18.7,15807,57.8,18.5,101000,12959,2.4,19715,33090,27.6,628,11009,1.4,1970,2527,0,0,0,0,0,0,0,0,367926,12189,45692,44,672.09,48.9,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1107,Pickens,1142,AL,1338,1,0.853512706,20365,19746,3.1,19746,5.2,20.5,17.8,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7,91.9,0.3,2.6,79.7,11,1610,29.3,9441,72,10.7,81900,7926,2.42,17153,28741,27.2,266,2707,-1.2,1073,1268,0,0,0,0,0,10,107619,36581,113222,5805,6302,3,881.41,22.4,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1107,Pickens,196,AL,1338,0,0.146487294,20365,19746,3.1,19746,5.2,20.5,17.8,50.6,58.1,40.2,0.2,0.3,0.4,0.9,4.1,54.7,91.9,0.3,2.6,79.7,11,1610,29.3,9441,72,10.7,81900,7926,2.42,17153,28741,27.2,266,2707,-1.2,1073,1268,0,0,0,0,0,10,107619,36581,113222,5805,6302,3,881.41,22.4,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1105,Perry,2094,AL,2272,1,0.92165493,9826,10581,-7.1,10591,5.5,22.4,17.9,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3,92.2,0.5,0.8,70.2,10.4,670,26.8,4691,67,11,58000,3400,2.84,13716,28209,25.6,125,1570,4,488,854,55.7,0,0,0,0,41.3,0,10360,34121,3181,2632,0,719.66,14.7,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1105,Perry,178,AL,2272,0,0.07834507,9826,10581,-7.1,10591,5.5,22.4,17.9,53.4,31.1,67.5,0.2,0.4,0.1,0.7,1.3,30.3,92.2,0.5,0.8,70.2,10.4,670,26.8,4691,67,11,58000,3400,2.84,13716,28209,25.6,125,1570,4,488,854,55.7,0,0,0,0,41.3,0,10360,34121,3181,2632,0,719.66,14.7,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1103,Morgan,3954,AL,5204,1,0.759800154,119607,119486,0.1,119490,6,23.1,15.9,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6,86.4,5.1,8,81.4,19.9,9518,23.7,51496,71.5,15.1,120500,46192,2.55,23764,44800,15.7,2589,42569,2,7506,10034,5.9,1.8,1,0,0,21.3,0,1213925,1637628,14222,154700,136,579.34,206.3,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1103,Morgan,1250,AL,5204,0,0.240199846,119607,119486,0.1,119490,6,23.1,15.9,50.8,83.5,12.5,1.1,0.7,0.1,2,7.9,76.6,86.4,5.1,8,81.4,19.9,9518,23.7,51496,71.5,15.1,120500,46192,2.55,23764,44800,15.7,2589,42569,2,7506,10034,5.9,1.8,1,0,0,21.3,0,1213925,1637628,14222,154700,136,579.34,206.3,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
Biden,1101,Montgomery,23465,AL,27974,1,0.838814614,226189,229363,-1.4,229363,6.8,24,13.3,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3,78.1,4.3,5.7,85.6,31.5,20008,19.3,103434,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5533,101517,1.2,15129,21463,35.6,0.7,2.4,0,1.3,30.9,7956627,3275567,3238175,14351,402861,734,784.25,292.5,77,1,9000000,0.3624,68281497,7919417,4.2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0
Sanders,1101,Montgomery,4509,AL,27974,0,0.161185386,226189,229363,-1.4,229363,6.8,24,13.3,52.6,38.9,56.7,0.3,2.6,0.1,1.3,3.4,36.3,78.1,4.3,5.7,85.6,31.5,20008,19.3,103434,61.4,22.4,122900,88844,2.49,24975,44790,21.2,5533,101517,1.2,15129,21463,35.6,0.7,2.4,0,1.3,30.9,7956627,3275567,3238175,14351,402861,734,784.25,292.5,78,1,2000000,0.5576,132564706,1505287,10.8,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1
