last name,votes,state,winner,percent_votes,winner_state,fips,county,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210,Age,Gender,Net Worth,% Donations Under $200,Candidate Committee Money,Outside Money,Twitter Followers,legalize_cannabis,vote_incarcerated,gun_licenses,tax_wealthy_assets,paid_family_leave,job_guarantee,cancel_student_debt,ratify_NA_trade,raise_income_tax,rent_control,lower_debt,TPP,carbon_tax,north_korea_meet,free_college,children_public,ban_fracking,border_crossing_penalties,medicare_for_all,private_insurance,eliminate_electoral_college,eliminate_filibuster
Biden,1864,AL,1,0.8677839851024208,1,1131,Wilcox County,11098,11665,-4.9,11670,5.7,24.8,17.7,52.4,28.1,71.0,0.2,0.1,0.0,0.6,1.0,27.6,93.8,0.1,0.9,76.1,11.1,462,21.6,5615,74.5,5.7,67000,3866,2.9,13379,23642,39.2,189,1738,-1.1,613,928,66.2,0.0,0.0,0.0,0.0,37.6,0,21337,75708,6018,12949,0,888.5,13.1,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,1109,AL,1,0.8766798418972332,1,1129,Washington County,16834,17583,-4.3,17581,4.9,22.5,17.0,51.2,66.0,24.6,7.9,0.1,0.1,1.3,1.4,65.1,91.3,0.9,1.9,80.5,9.5,1025,31.8,8377,86.5,2.0,83900,6620,2.59,20395,42156,18.4,217,5756,-4.7,1031,1288,0.0,0.0,0.0,0.0,0.0,25.6,1153449,32856,76343,4458,0,2,1080.21,16.3,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,1390,AL,1,0.720954356846473,1,1127,Walker County,65471,67023,-2.3,67023,5.8,22.1,18.2,51.4,91.3,6.4,0.5,0.4,0.1,1.3,2.3,89.4,85.3,1.2,1.4,76.4,10.5,5353,29.3,30669,75.0,5.7,82100,25751,2.55,20698,37566,20.9,1250,15669,4.1,3509,5365,0.0,0.0,0.6,0.0,0.0,23.8,314804,256377,903643,13162,73895,8,791.19,84.7,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,11825,AL,1,0.7690056578006113,1,1125,Tuscaloosa County,202212,194653,3.9,194656,6.0,21.1,11.7,51.7,66.0,31.0,0.3,1.5,0.1,1.1,3.3,63.2,81.2,3.5,5.8,86.6,27.0,12198,21.8,87795,64.4,27.9,153300,67882,2.76,22637,45408,18.9,4009,72917,3.0,11107,14729,13.3,0.9,0.0,0.0,0.0,22.5,10852479,760623,2445850,13664,327429,1375,1321.76,147.3,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,1762,AL,1,0.8536821705426356,1,1123,Tallapoosa County,41165,41618,-1.1,41616,5.8,21.1,19.6,51.4,70.6,27.3,0.4,0.5,0.0,1.2,2.3,68.9,86.0,1.9,2.9,79.2,16.3,3631,23.9,22029,72.2,10.1,94900,16373,2.49,21434,39130,19.8,721,10771,4.1,2478,3528,13.0,0.0,0.0,0.0,0.0,35.0,0,0,362304,8881,28222,16,716.52,58.1,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,4617,AL,1,0.8518450184501845,1,1121,Talladega County,81322,82291,-1.2,82291,5.5,22.3,16.1,51.4,65.2,32.5,0.4,0.4,0.0,1.5,2.3,63.4,85.0,1.6,2.8,78.9,13.0,6691,23.9,37177,71.2,11.6,92600,31486,2.5,19410,35439,22.9,1230,23763,4.8,3988,4872,0.0,0.0,1.5,0.0,0.0,26.6,9054200,0,730728,9113,67078,65,736.78,111.7,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,2012,AL,1,0.8744024337244676,1,1119,Sumter County,13166,13763,-4.3,13763,4.8,19.7,16.3,55.0,25.5,73.5,0.1,0.4,0.0,0.5,1.1,24.8,87.9,0.9,1.9,75.5,14.9,706,23.4,6748,64.7,16.3,74100,5060,2.57,14156,22186,38.0,202,2966,8.1,823,730,57.5,0.0,0.0,0.0,0.0,0.0,0,76499,59636,4494,8199,3,903.89,15.2,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,2268,AL,1,0.7309055752497583,1,1115,St. Clair County,86697,83593,3.7,83593,6.1,23.0,15.3,50.1,87.9,9.5,0.4,0.8,0.1,1.3,2.3,85.9,86.8,1.8,2.5,82.0,15.5,6928,30.0,35844,81.5,5.1,134600,31353,2.63,23872,50786,15.2,1266,15265,1.0,5172,6061,2.4,1.0,1.4,0.0,0.0,28.1,985409,317458,581324,7404,70254,80,631.9,132.3,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,9543,AL,1,0.7154745838956366,1,1117,Shelby County,206655,195218,5.9,195085,6.0,24.4,13.0,51.2,84.0,12.1,0.4,2.2,0.0,1.3,6.0,78.5,86.6,6.0,8.3,91.2,40.3,13991,29.0,83498,79.0,12.1,193000,74144,2.64,33313,68770,7.9,4845,76137,2.1,15634,18393,5.7,0.6,0.0,0.0,2.0,30.5,1723017,4385596,2520488,13737,301893,896,784.93,248.5,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Biden,3221,AL,1,0.8505413255875363,1,1113,Russell County,59608,52949,12.6,52947,7.6,25.3,12.5,51.3,53.1,42.9,0.6,0.8,0.2,2.4,5.0,49.5,81.7,2.2,5.0,80.4,16.0,5977,23.6,26787,61.3,19.8,104400,21142,2.6,19678,36143,22.0,783,10489,-1.9,3523,3823,33.9,0.0,0.0,0.0,1.0,32.4,0,0,428236,8526,56392,244,641.14,82.6,77,Male,9000000.0,0.3624,68281497.0,7919417.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
