,last name,county,votes,state,winner
280,Sanders,Strafford,8916,NH,1.0
282,Klobuchar,Strafford,5178,NH,0.0
283,Warren,Strafford,2967,NH,0.0
284,Biden,Strafford,2250,NH,0.0
285,Steyer,Strafford,1075,NH,0.0
245,Sanders,Rockingham,15331,NH,1.0
247,Klobuchar,Rockingham,13736,NH,0.0
249,Biden,Rockingham,6069,NH,0.0
248,Warren,Rockingham,5928,NH,0.0
250,Steyer,Rockingham,2659,NH,0.0
210,Sanders,Merrimack,8636,NH,1.0
212,Klobuchar,Merrimack,7853,NH,0.0
213,Warren,Merrimack,3177,NH,0.0
214,Biden,Merrimack,2863,NH,0.0
215,Steyer,Merrimack,1294,NH,0.0
175,Sanders,Hillsborough,21659,NH,1.0
177,Klobuchar,Hillsborough,16701,NH,0.0
179,Biden,Hillsborough,7375,NH,0.0
178,Warren,Hillsborough,7266,NH,0.0
180,Steyer,Hillsborough,3165,NH,0.0
140,Sanders,Grafton,6580,NH,1.0
142,Klobuchar,Grafton,4280,NH,0.0
143,Warren,Grafton,3298,NH,0.0
144,Biden,Grafton,1657,NH,0.0
145,Steyer,Grafton,550,NH,0.0
105,Sanders,Coös,1562,NH,1.0
107,Klobuchar,Coös,937,NH,0.0
109,Biden,Coös,566,NH,0.0
108,Warren,Coös,395,NH,0.0
110,Steyer,Coös,226,NH,0.0
70,Sanders,Cheshire,5973,NH,1.0
72,Klobuchar,Cheshire,3616,NH,0.0
73,Warren,Cheshire,1816,NH,0.0
74,Biden,Cheshire,1265,NH,0.0
75,Steyer,Cheshire,651,NH,0.0
35,Sanders,Carroll,2605,NH,1.0
37,Klobuchar,Carroll,2464,NH,0.0
39,Biden,Carroll,1020,NH,0.0
38,Warren,Carroll,903,NH,0.0
40,Steyer,Carroll,322,NH,0.0
0,Sanders,Belknap,2670,NH,1.0
2,Klobuchar,Belknap,2383,NH,0.0
4,Biden,Belknap,1122,NH,0.0
3,Warren,Belknap,839,NH,0.0
5,Steyer,Belknap,488,NH,0.0
1330,Klobuchar,Worth,147,IA,1.0
1326,Sanders,Worth,87,IA,0.0
1327,Biden,Worth,73,IA,0.0
1329,Warren,Worth,60,IA,0.0
1335,Steyer,Worth,0,IA,0.0
1313,Sanders,Woodbury,1742,IA,1.0
1314,Biden,Woodbury,1211,IA,0.0
1316,Warren,Woodbury,786,IA,0.0
1317,Klobuchar,Woodbury,234,IA,0.0
1322,Steyer,Woodbury,0,IA,0.0
1304,Klobuchar,Winneshiek,397,IA,1.0
1300,Sanders,Winneshiek,333,IA,0.0
1303,Warren,Winneshiek,269,IA,0.0
1301,Biden,Winneshiek,64,IA,0.0
1309,Steyer,Winneshiek,0,IA,0.0
1290,Warren,Winnebago,105,IA,1.0
1287,Sanders,Winnebago,90,IA,0.0
1291,Klobuchar,Winnebago,90,IA,0.0
1288,Biden,Winnebago,60,IA,0.0
1296,Steyer,Winnebago,0,IA,0.0
1275,Biden,Webster,467,IA,1.0
1274,Sanders,Webster,417,IA,0.0
1277,Warren,Webster,150,IA,0.0
1278,Klobuchar,Webster,125,IA,0.0
1283,Steyer,Webster,33,IA,0.0
1265,Klobuchar,Wayne,98,IA,1.0
1264,Warren,Wayne,60,IA,0.0
1261,Sanders,Wayne,52,IA,0.0
1262,Biden,Wayne,38,IA,0.0
1270,Steyer,Wayne,0,IA,0.0
1248,Sanders,Washington,371,IA,1.0
1251,Warren,Washington,260,IA,0.0
1252,Klobuchar,Washington,241,IA,0.0
1249,Biden,Washington,186,IA,0.0
1257,Steyer,Washington,0,IA,0.0
1238,Warren,Warren,723,IA,1.0
1235,Sanders,Warren,607,IA,0.0
1236,Biden,Warren,513,IA,0.0
1239,Klobuchar,Warren,467,IA,0.0
1244,Steyer,Warren,0,IA,0.0
1222,Sanders,Wapello,531,IA,1.0
1223,Biden,Wapello,396,IA,0.0
1225,Warren,Wapello,279,IA,0.0
1231,Steyer,Wapello,9,IA,0.0
1226,Klobuchar,Wapello,0,IA,0.0
1209,Sanders,Van Buren,70,IA,1.0
1212,Warren,Van Buren,60,IA,0.0
1210,Biden,Van Buren,50,IA,0.0
1213,Klobuchar,Van Buren,0,IA,0.0
1218,Steyer,Van Buren,0,IA,0.0
1196,Sanders,Union,195,IA,1.0
1199,Warren,Union,82,IA,0.0
1197,Biden,Union,75,IA,0.0
1200,Klobuchar,Union,75,IA,0.0
1205,Steyer,Union,0,IA,0.0
1184,Biden,Taylor,60,IA,1.0
1183,Sanders,Taylor,50,IA,0.0
1186,Warren,Taylor,40,IA,0.0
1187,Klobuchar,Taylor,40,IA,0.0
1192,Steyer,Taylor,0,IA,0.0
1170,Sanders,Tama,324,IA,1.0
1171,Biden,Tama,233,IA,0.0
1173,Warren,Tama,116,IA,0.0
1174,Klobuchar,Tama,78,IA,0.0
1179,Steyer,Tama,26,IA,0.0
1157,Sanders,Story,2448,IA,1.0
1160,Warren,Story,2075,IA,0.0
1161,Klobuchar,Story,1702,IA,0.0
1158,Biden,Story,290,IA,0.0
1166,Steyer,Story,42,IA,0.0
1148,Klobuchar,Sioux,166,IA,1.0
1147,Warren,Sioux,158,IA,0.0
1144,Sanders,Sioux,131,IA,0.0
1145,Biden,Sioux,79,IA,0.0
1153,Steyer,Sioux,0,IA,0.0
1135,Klobuchar,Shelby,110,IA,1.0
1134,Warren,Shelby,85,IA,0.0
1131,Sanders,Shelby,75,IA,0.0
1132,Biden,Shelby,75,IA,0.0
1140,Steyer,Shelby,0,IA,0.0
1118,Sanders,Scott,3389,IA,1.0
1121,Warren,Scott,2067,IA,0.0
1119,Biden,Scott,1901,IA,0.0
1122,Klobuchar,Scott,1653,IA,0.0
1127,Steyer,Scott,0,IA,0.0
1109,Klobuchar,Satellite caucus 5,107,IA,1.0
1108,Warren,Satellite caucus 5,88,IA,0.0
1106,Biden,Satellite caucus 5,71,IA,0.0
1105,Sanders,Satellite caucus 5,56,IA,0.0
1114,Steyer,Satellite caucus 5,0,IA,0.0
1092,Sanders,Satellite caucus 4,301,IA,1.0
1096,Klobuchar,Satellite caucus 4,27,IA,0.0
1093,Biden,Satellite caucus 4,21,IA,0.0
1101,Steyer,Satellite caucus 4,10,IA,0.0
1095,Warren,Satellite caucus 4,3,IA,0.0
1079,Sanders,Satellite caucus 3,1245,IA,1.0
1080,Biden,Satellite caucus 3,298,IA,0.0
1083,Klobuchar,Satellite caucus 3,136,IA,0.0
1082,Warren,Satellite caucus 3,109,IA,0.0
1088,Steyer,Satellite caucus 3,0,IA,0.0
1066,Sanders,Satellite caucus 2,583,IA,1.0
1069,Warren,Satellite caucus 2,230,IA,0.0
1070,Klobuchar,Satellite caucus 2,129,IA,0.0
1067,Biden,Satellite caucus 2,68,IA,0.0
1075,Steyer,Satellite caucus 2,0,IA,0.0
1053,Sanders,Satellite caucus 1,365,IA,1.0
1057,Klobuchar,Satellite caucus 1,74,IA,0.0
1054,Biden,Satellite caucus 1,67,IA,0.0
1056,Warren,Satellite caucus 1,39,IA,0.0
1062,Steyer,Satellite caucus 1,7,IA,0.0
1040,Sanders,Sac,93,IA,1.0
1044,Klobuchar,Sac,73,IA,0.0
1041,Biden,Sac,53,IA,0.0
1043,Warren,Sac,53,IA,0.0
1049,Steyer,Sac,0,IA,0.0
1028,Biden,Ringgold,101,IA,1.0
1031,Klobuchar,Ringgold,56,IA,0.0
1030,Warren,Ringgold,49,IA,0.0
1027,Sanders,Ringgold,19,IA,0.0
1036,Steyer,Ringgold,0,IA,0.0
1014,Sanders,Poweshiek,504,IA,1.0
1017,Warren,Poweshiek,392,IA,0.0
1018,Klobuchar,Poweshiek,210,IA,0.0
1015,Biden,Poweshiek,56,IA,0.0
1023,Steyer,Poweshiek,0,IA,0.0
1001,Sanders,Pottawattamie,1272,IA,1.0
1004,Warren,Pottawattamie,900,IA,0.0
1002,Biden,Pottawattamie,660,IA,0.0
1005,Klobuchar,Pottawattamie,528,IA,0.0
1010,Steyer,Pottawattamie,24,IA,0.0
988,Sanders,Polk,10772,IA,1.0
991,Warren,Polk,8226,IA,0.0
989,Biden,Polk,5540,IA,0.0
992,Klobuchar,Polk,4141,IA,0.0
997,Steyer,Polk,28,IA,0.0
976,Biden,Pocahontas,66,IA,1.0
